cell,arithmetic,code,factual,follow_up,paraphrase,summarisation
baseline,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0
M5,+16.8,+11.9,+12.6,+14.7,+13.1,+11.2
M3,+0.0,+0.0,+0.0,+17.7,+0.0,+0.0
M3+M5,+16.8,+11.9,+12.6,+29.3,+13.1,+11.2
M2,+0.0,+0.0,+0.0,+0.2,+31.1,+0.0
M2+M5,+16.8,+11.9,+12.6,+14.9,+40.2,+11.2
M2+M3,+0.0,+0.0,+0.0,+17.9,+31.1,+0.0
M2+M3+M5,+16.8,+11.9,+12.6,+29.5,+40.2,+11.2
M1,+0.0,+2.5,+1.1,+0.0,+0.8,-0.8
M1+M5,+16.8,+13.6,+13.6,+14.7,+13.6,+10.4
M1+M3,+0.0,+2.5,+1.1,+17.7,+0.8,-0.8
M1+M3+M5,+16.8,+13.6,+13.6,+29.3,+13.6,+10.4
M1+M2,+0.0,+2.5,+1.1,+0.2,+30.6,-0.8
M1+M2+M5,+16.8,+13.6,+13.6,+14.9,+39.6,+10.4
M1+M2+M3,+0.0,+2.5,+1.1,+17.9,+30.6,-0.8
M1+M2+M3+M5,+16.8,+13.6,+13.6,+29.5,+39.6,+10.4
M1+M2+M3+M5+M4+M6,+69.3,+27.5,+22.8,+32.4,+46.0,+19.5
