cell,input,input red %,output,output red %,total,reduction %,cache hits,tier 0,gate fires,early stops,middleware ms
baseline,31960,+0.00,17202,+0.00,49162,+0.0,0,0,0,0,5.13
M5,28431,+11.04,14149,+17.75,42580,+13.4,0,0,0,219,3.85
M3,25565,+20.01,17441,-1.39,43006,+12.5,0,0,0,0,4.40
M3+M5,22965,+28.14,14201,+17.45,37166,+24.4,0,0,0,219,4.21
M2,31629,+1.04,16529,+3.91,48158,+2.0,11,0,0,0,4.09
M2+M5,28100,+12.08,13564,+21.15,41664,+15.3,11,0,0,212,4.18
M2+M3,25234,+21.05,16768,+2.52,42002,+14.6,11,0,0,0,5.13
M2+M3+M5,22634,+29.18,13616,+20.85,36250,+26.3,11,0,0,212,4.92
M1,31888,+0.23,17159,+0.25,49047,+0.2,0,0,0,0,3.83
M1+M5,28351,+11.29,14124,+17.89,42475,+13.6,0,0,0,219,3.19
M1+M3,25493,+20.23,17398,-1.14,42891,+12.8,0,0,0,0,4.16
M1+M3+M5,22885,+28.39,14176,+17.59,37061,+24.6,0,0,0,219,4.13
M1+M2,31569,+1.22,16462,+4.30,48031,+2.3,11,0,0,0,5.68
M1+M2+M5,28032,+12.29,13516,+21.43,41548,+15.5,11,0,0,212,4.86
M1+M2+M3,25174,+21.23,16701,+2.91,41875,+14.8,11,0,0,0,5.46
M1+M2+M3+M5,22566,+29.39,13568,+21.13,36134,+26.5,11,0,0,212,5.86
M1+M2+M3+M5+M4+M6,19987,+37.46,12791,+25.64,32778,+33.3,11,15,0,207,7.56
